layer_idx,k_delta_compressibility,v_delta_compressibility,k_delta_norm,k_abs_norm,v_delta_norm,v_abs_norm,channel_structure_ratio,k_var_channel,k_var_token,k_outlier_fraction,sv_top50_energy,effective_rank_90,seq_len,head_dim,n_heads,model_name,context_type
0,0.047743224397646,-0.3684700237383256,7.643101692199707,8.0263032913208,0.1250309497117996,0.0913655012845993,1.728262326069876,1.5721116065979004,0.9096487164497375,0.0157928466796875,0.987330675125122,20,512,64,4,TinyLlama,prose
1,0.4596380134999539,-0.4428443028755002,9.934667587280272,18.38520812988281,0.3115694522857666,0.2159411460161209,1.8900837279219576,5.46793270111084,2.892957925796509,0.0053024291992187,0.9784454107284546,22,512,64,4,TinyLlama,prose
2,0.3295040744186797,-0.4497785000022138,11.420599937438965,17.033063888549805,0.4781711399555206,0.3298235833644867,1.5921364939674616,4.754329204559326,2.9861316680908203,0.0051498413085937,0.9740003943443298,24,512,64,4,TinyLlama,prose
3,0.4577958190318784,-0.3369087909304233,9.501546859741213,17.523927688598633,1.194118857383728,0.8931939601898193,2.219866775174387,4.840532302856445,2.1805508136749268,0.0191116333007812,0.9484090209007264,25,512,64,4,TinyLlama,prose
4,0.3635957475566921,-0.2570005975392635,11.908140182495115,18.711597442626957,1.4700257778167725,1.169471025466919,2.05567225767257,5.49876880645752,2.674924850463867,0.0160903930664062,0.9104706645011902,31,512,64,4,TinyLlama,prose
5,0.4271235151681308,-0.2329121284696158,11.087769508361816,19.354555130004883,1.4589000940322876,1.1832960844039917,2.2343301175953427,5.89922571182251,2.640265941619873,0.0174484252929687,0.9400063753128052,25,512,64,4,TinyLlama,prose
6,0.4331055058973486,-0.1562225872884801,11.455382347106934,20.207256317138672,1.3768999576568604,1.190860629081726,2.1342879378426285,6.371748924255371,2.9854214191436768,0.017669677734375,0.9484086036682128,23,512,64,4,TinyLlama,prose
7,0.4714170425441384,-0.1843892826951938,9.47075080871582,17.917245864868164,1.5542943477630615,1.312317132949829,2.3887529273597585,5.0782880783081055,2.125916004180908,0.0174407958984375,0.9638901948928832,17,512,64,4,TinyLlama,prose
8,0.3809600375668937,-0.0467136256724951,13.441954612731934,21.714195251464844,1.62282133102417,1.5503966808319092,2.084845442457539,7.6006364822387695,3.6456594467163086,0.0225982666015625,0.9340681433677672,26,512,64,4,TinyLlama,prose
9,0.4500425641341972,-0.1228612887010791,11.682600021362305,21.242734909057617,1.6640549898147583,1.4819773435592651,2.2545717752428334,7.080260276794434,3.1404013633728027,0.0159912109375,0.949448823928833,22,512,64,4,TinyLlama,prose
10,0.4321566788891479,-0.1029018066225948,11.59003734588623,20.410625457763672,1.674520492553711,1.518286108970642,1.9703696001599316,6.54203987121582,3.320209503173828,0.0172195434570312,0.9313112497329712,27,512,64,4,TinyLlama,prose
11,0.4901469056053344,-0.0189175298451704,10.733805656433104,21.05274200439453,1.892781138420105,1.857639193534851,2.0545812364925733,7.064472675323486,3.4384002685546875,0.0187835693359375,0.948227047920227,20,512,64,4,TinyLlama,prose
12,0.491706035814471,-0.0267944841396361,10.714858055114746,21.080041885375977,1.7318261861801147,1.6866337060928345,2.1362372371703757,6.954090118408203,3.255298614501953,0.0171127319335937,0.9516064524650574,20,512,64,4,TinyLlama,prose
13,0.4827454775740242,0.0078043407834184,11.04616641998291,21.355379104614254,1.788261890411377,1.802327871322632,2.150432027781965,7.260747909545898,3.376413583755493,0.0199661254882812,0.9482171535491944,22,512,64,4,TinyLlama,prose
14,0.4894923872643688,0.0222976482170348,10.972176551818848,21.492679595947266,1.8543213605880735,1.896611332893372,2.1802620860348805,7.359988689422607,3.3757357597351074,0.0179977416992187,0.9390107989311218,24,512,64,4,TinyLlama,prose
15,0.4782829850668755,-0.0687647728738962,11.036593437194824,21.15436744689941,2.365879535675049,2.213657855987549,2.0390040859060736,7.074364185333252,3.4695193767547607,0.0170974731445312,0.9354384541511536,25,512,64,4,TinyLlama,prose
16,0.4914856500692329,0.02806974158843,10.9308500289917,21.49565696716309,2.0540032386779785,2.11332368850708,2.0892147798641885,7.265225887298584,3.4774911403656006,0.0174484252929687,0.9322072267532348,26,512,64,4,TinyLlama,prose
17,0.4609846526996087,-0.1377096890325972,10.740910530090332,19.926910400390625,3.015320301055908,2.650342464447021,2.044666427111787,6.2487077713012695,3.0561013221740723,0.0182647705078125,0.9428586959838868,22,512,64,4,TinyLlama,prose
